0.199988,1.44376301765
0.299988,5.39206933975
0.399988,9.8816204071
0.499988,14.0264177322
0.599988,17.7722396851
0.699988,20.9396705627
0.799992,23.539068222
0.899988,25.5789241791
0.999988,27.0687026978
1.099988,28.1077404022
1.199988,28.7399845123
1.299992,29.0906562805
1.399992,29.3179359436
1.499992,29.4353847504
1.599992,29.5420665741
1.699988,29.6389865875
1.799992,29.7270889282
1.899992,29.7622394562
1.999992,29.7927188873
2.099992,29.8202838898
2.199992,29.8901596069
2.299992,29.9106330872
2.399988,29.9291477203
2.499992,29.9440937042
2.599992,29.9576530457
2.699992,29.92628479
2.799992,29.9419956207
2.899992,29.9575119019
2.999992,29.9715461731
3.099992,29.9842395782
3.199992,29.9957199097
3.299992,29.9607124329
3.399992,29.9726791382
3.499992,29.9852619171
3.599992,29.9970741272
3.699992,30.0073242188
3.799988,30.0165920258
3.899992,29.9791412354
3.999992,29.9888820648
4.099992,29.9976902008
4.199992,30.005657196
4.299992,30.0573787689
4.399992,30.0182647705
4.499992,29.9828910828
4.599992,29.4130077362
4.699992,28.5941963196
4.799992,28.07746315
4.899992,27.9193458557
4.999992,28.0397529602
5.099992,28.1481647491
5.199992,28.2435569763
5.299992,28.3302841187
5.399992,28.3214912415
5.499992,28.313539505
5.599992,28.2623233795
5.699992,28.3045291901
5.799992,28.3422431946
5.899992,28.3772621155
5.999992,28.3644237518
6.099992,28.3519248962
6.199992,28.3419589996
6.299992,28.3329467773
6.399992,28.3688564301
6.499992,28.3563766479
6.599992,28.3437805176
6.699992,28.3336982727
6.799992,28.2805538177
6.899992,28.3197040558
6.999992,28.356420517
7.099992,28.3901157379
7.199992,28.3315753937
7.299992,28.3222179413
7.399992,28.3591537476
7.499992,28.3480472565
7.599992,28.336681366
7.699988,28.3726959229
7.799992,28.3611965179
7.899992,28.3494491577
7.999992,28.3392658234
8.099992,28.3300571442
8.199992,28.3662433624
8.299992,28.3535690308
8.399992,28.3866500854
8.499992,28.3742733002
8.599992,28.3635425568
8.699988,28.3538379669
8.799992,28.3436851501
8.899992,28.3340568542
8.999992,28.3703231812
9.099992,28.3136768341
9.199992,28.3514595032
9.299992,28.341085434
9.399992,28.3312606812
9.499992,28.3677940369
9.599992,28.357219696
9.699992,28.3462982178
9.799992,28.3364181519
9.899992,28.3715629578
9.999992,28.3588199615
10.099992,28.3477458954
10.199992,28.3368415833
10.299992,28.3278656006
10.399992,28.3638019562
10.499992,28.3518047333
10.599992,28.3845939636
10.699992,28.3724136353
10.799992,28.3604869843
10.899992,28.3492527008
10.999992,28.3386421204
11.099992,28.3731174469
11.199992,28.3615760803
11.299992,28.350687027
11.399992,28.340839386
11.499992,28.3319301605
11.599992,28.3683700562
11.699992,28.3554935455
11.799988,28.3892784119
11.899992,28.3308200836
11.999992,28.3665351868
12.099992,28.3556213379
12.199992,28.343963623
12.299992,28.3325557709
12.399992,28.3218078613
12.499992,28.3133850098
12.599992,28.3057670593
12.699992,28.3420543671
12.799992,28.3762016296
12.899992,28.3643665314
12.999992,28.3082885742
13.099992,28.3452358246
13.199992,28.3808689117
13.299992,28.3685894012
13.399992,28.3570289612
13.499992,28.3474845886
13.599992,28.3388519287
13.699992,28.3301315308
13.799988,28.3672084808
13.899992,28.354883194
13.999992,28.3878364563
14.099992,28.3758087158
14.199992,28.3644714355
14.299992,28.352853775
14.399992,28.3868923187
14.499988,29.1423530579
14.599992,30.8270530701
14.699992,32.2145271301
14.799992,33.1606254578
14.899988,33.618019104
14.999992,33.7215881348
15.099992,33.5927886963
15.199992,33.4349784851
15.299992,33.2041091919
15.399992,33.0839080811
15.499992,32.9765014648
15.599992,32.9220809937
15.699992,32.9169006348
15.799992,32.9126548767
15.899988,32.953792572
15.999992,32.9473800659
16.099992,32.8957557678
16.199992,32.893535614
16.299992,32.8470535278
16.399992,32.8494911194
16.499992,32.852596283
16.599992,32.8558616638
16.699992,32.8578987122
16.799992,32.8588562012
16.899992,32.8606147766
16.999992,32.8172836304
17.099992,32.8216781616
17.199992,32.8265380859
17.299992,32.8313827515
17.399992,32.7908477783
17.499992,32.7977714539
17.599992,32.7604484558
17.699992,32.7716178894
17.799992,32.826210022
17.899992,32.8301925659
17.999992,32.8760871887
18.099992,32.8744277954
18.199992,32.8756027222
18.299992,32.8308334351
18.399992,32.8330688477
18.499992,32.836391449
