0.05,0.0,0.0,0.03,0.0,0.0,0.0
0.1,0.0015,0.0,0.03,0.0,0.0,0.0
0.15,0.003,0.0,0.03,0.0,0.0,0.0
0.2,0.0045,0.0,0.03,0.0,0.0,0.0
0.25,0.006,0.0,0.03,0.0,0.0,0.0
0.3,0.0075,0.0,0.03,0.0,0.0,0.0
0.35,0.009,0.0,0.03,0.0,0.0,0.0
0.4,0.0105,0.0,0.03,0.0,0.0,0.0
0.45,0.012,0.0,0.03,0.0,0.0,0.0
0.5,0.0135,0.0,0.03,0.0,0.0,0.0
0.55,0.015,0.0,0.03,0.0,0.0,0.0
0.6,0.0165,0.0,0.03,0.0,0.0,0.0
0.65,0.018,0.0,0.03,0.0,0.0,0.0
0.7,0.0195,0.0,0.03,0.0,0.0,0.0
0.75,0.021,0.0,0.03,0.0,0.0,0.0
0.8,0.0225,0.0,0.03,0.0,0.0,0.0
0.85,0.024,0.0,0.03,0.0,0.0,0.0
0.9,0.0255,0.0,0.03,0.0,0.0,0.0
0.95,0.027,0.0,0.03,0.0,0.0,0.0
1.0,0.0285,0.0,0.03,0.0,0.0,0.0
1.05,0.03,0.0,0.03,0.0,0.0,0.0
1.1,0.0315,0.0,0.03,0.0,0.0,0.0
1.15,0.033,0.0,0.03,0.0,0.0,0.0
1.2,0.0345,0.0,0.03,0.0,0.0,0.0
1.25,0.036,0.0,0.03,0.0,0.0,0.0
1.3,0.0375,0.0,0.03,0.0,0.0,0.0
1.35,0.039,0.0,0.03,0.0,0.0,0.0
1.4,0.0405,0.0,0.03,0.0,0.0,0.0
1.45,0.042,0.0,0.03,0.0,0.0,0.0
1.5,0.0435,0.0,0.03,0.0,0.0,0.0
1.55,0.045,0.0,0.03,0.0,0.0,0.0
1.6,0.0465,0.0,0.03,0.0,0.0,0.0
1.65,0.048,0.0,0.03,0.0,0.0,0.0
1.7,0.0495,0.0,0.03,0.0,0.0,0.0
1.75,0.051,0.0,0.03,0.0,0.0,0.0
1.8,0.0525,0.0,0.03,0.0,0.0,0.0
1.85,0.054,0.0,0.03,0.0,0.0,0.0
1.9,0.0555,0.0,0.03,0.0,0.0,0.0
1.95,0.057,0.0,0.03,0.0,0.0,0.0
2.0,0.0585,0.0,0.03,0.0,0.0,0.0
2.05,0.06,0.0,0.03,0.0,0.0,0.0
2.1,0.0615,0.0,0.03,0.0,0.0,0.0
2.15,0.063,0.0,0.03,0.0,0.0,0.0
2.2,0.0645,0.0,0.03,0.0,0.0,0.0
2.25,0.066,0.0,0.03,0.0,0.0,0.0
2.3,0.0675,0.0,0.03,0.0,0.0,0.0
2.35,0.069,0.0,0.03,0.0,0.0,0.0
2.4,0.0705,0.0,0.03,0.0,0.0,0.0
2.45,0.072,0.0,0.03,0.0,0.0,0.0
2.5,0.0735,0.0,0.03,0.0,0.0,0.0
2.55,0.075,0.0,0.03,0.0,0.0,0.0
2.6,0.0765,0.0,0.03,0.0,0.0,0.0
2.65,0.078,0.0,0.03,0.0,0.0,0.0
2.7,0.0795,0.0,0.03,0.0,0.0,0.0
2.75,0.081,0.0,0.03,0.0,0.0,0.0
2.8,0.0825,0.0,0.03,0.0,0.0,0.0
2.85,0.084,0.0,0.03,0.0,0.0,0.0
2.9,0.0855,0.0,0.03,0.0,0.0,0.0
2.95,0.087,0.0,0.03,0.0,0.0,0.0
3.0,0.0885,0.0,0.03,0.0,0.0,0.0
3.05,0.09,0.0,0.03,0.0,0.0,0.0
3.1,0.0915,0.0,0.03,0.0,0.0,0.0
3.15,0.093,0.0,0.03,0.0,0.0,0.0
3.2,0.0945,0.0,0.03,0.0,0.0,0.0
3.25,0.096,0.0,0.03,0.0,0.0,0.0
3.3,0.0975,0.0,0.03,0.0,0.0,0.0
3.35,0.099,0.0,0.03,0.0,0.0,0.0
3.4,0.1005,0.0,0.03,0.0,0.0,0.0
3.45,0.102,0.0,0.03,0.0,0.0,0.0
3.5,0.1035,0.0,0.03,0.0,0.0,0.0
3.55,0.105,0.0,0.03,0.0,0.0,0.0
3.6,0.1065,0.0,0.03,0.0,0.0,0.0
3.65,0.108,0.0,0.03,0.0,0.0,0.0
3.7,0.1095,0.0,0.03,0.0,0.0,0.0
3.75,0.111,0.0,0.03,0.0,0.0,0.0
3.8,0.1125,0.0,0.03,0.0,0.0,0.0
3.85,0.114,0.0,0.03,0.0,0.0,0.0
3.9,0.1155,0.0,0.03,0.0,0.0,0.0
3.95,0.117,0.0,0.03,0.0,0.0,0.0
4.0,0.1185,0.0,0.03,0.0,0.0,0.0
4.05,0.12,0.0,0.03,0.0,0.0,0.0
4.1,0.1215,0.0,0.03,0.0,0.0,0.0
4.15,0.123,0.0,0.03,0.0,0.0,0.0
4.2,0.1245,0.0,0.03,0.0,0.0,0.0
4.25,0.126,0.0,0.03,0.0,0.0,0.0
4.3,0.1275,0.0,0.03,0.0,0.0,0.0
4.35,0.129,0.0,0.03,0.0,0.0,0.0
4.4,0.1305,0.0,0.03,0.0,0.0,0.0
4.45,0.132,0.0,0.03,0.0,0.0,0.0
4.5,0.1335,0.0,0.03,0.0,0.0,0.0
4.55,0.135,0.0,0.03,0.0,0.0,0.0
4.6,0.1365,0.0,0.03,0.0,0.0,0.0
4.65,0.138,0.0,0.03,0.0,0.0,0.0
4.7,0.1395,0.0,0.03,0.0,0.0,0.0
4.75,0.141,0.0,0.03,0.0,0.0,0.0
4.8,0.1425,0.0,0.03,0.0,0.0,0.0
4.85,0.144,0.0,0.03,0.0,0.0,0.0
4.9,0.1455,0.0,0.03,0.0,0.0,0.0
