0.0,0.0,0.0,0.785398163397,0.04,0.0785398163397
0.0,0.04,0.0627905195293,0.784410553521,0.04,-9.87609876331e-05
0.0,0.08,0.125333233564,0.781439928714,0.04,-0.000297062480714
0.0,0.12,0.187381314586,0.776462890332,0.04,-0.000497703838166
0.0,0.16,0.248689887165,0.769440406225,0.04,-0.000702248410777
0.0,0.2,0.309016994375,0.760317792511,0.04,-0.000912261371374
0.0,0.24,0.368124552685,0.749024758111,0.04,-0.00112930344001
0.0,0.28,0.425779291565,0.735475589629,0.04,-0.00135491684821
0.0,0.32,0.481753674102,0.719569587134,0.04,-0.00159060024944
0.0,0.36,0.535826794979,0.701191901993,0.04,-0.00183776851417
0.0,0.4,0.587785252292,0.680214976881,0.04,-0.00209769251116
0.0,0.44,0.637423989749,0.656500844587,0.04,-0.00237141322936
0.0,0.48,0.684547105929,0.629904602252,0.04,-0.00265962423352
0.0,0.52,0.728968627421,0.600279432613,0.04,-0.00296251696391
0.0,0.56,0.770513242776,0.567483577193,0.04,-0.00327958554195
0.0,0.6,0.809016994375,0.53138965166,0.04,-0.00360939255331
0.0,0.64,0.844327925502,0.491896592374,0.04,-0.00394930592866
0.0,0.68,0.876306680044,0.448944287561,0.04,-0.00429523048129
0.0,0.72,0.904827052466,0.402530529198,0.04,-0.0046413758363
0.0,0.76,0.929776485888,0.352729298133,0.04,-0.00498012310645
0.0,0.8,0.951056516295,0.299708599769,0.04,-0.00530206983648
0.0,0.84,0.968583161129,0.243745236159,0.04,-0.00559633636091
0.0,0.88,0.982287250729,0.185233292942,0.04,-0.0058511943217
0.0,0.92,0.992114701314,0.124683087973,0.04,-0.00605502049696
0.0,0.96,0.998026728428,0.062708193857,0.04,-0.00619748941159
0.0,1.0,1.0,6.12323399574e-17,0.04,-0.0062708193857
